Job Title,Experience Level,Technologies
Middle Python Developer,middle,"Python, Django, REST, Celery, PostgreSQL, Redis, Docker, AWS, GCP"
Python Developer (EU citizens),middle,"Python, Django, Flask, FastAPI, NumPy, Pandas, TensorFlow, Keras, PyTorch, REST, pytest, RQ, SQLAlchemy, Git, Docker, Kubernetes, AWS, Azure, Sass, Spark"
Middle Python Developer (hybrid),middle,"Python, Django, FastAPI, Redis, Docker, AWS"
Python FS Developer (2 months project),middle,"Python, Selenium, unittest, NoSQL, Git, Docker, Kubernetes, AWS, Azure, GCP, Jenkins"
Middle Python Developer,middle,"Python, Django, REST, unittest, PostgreSQL, MongoDB, Redis, Git"
Junior Python Developer in Test (Apps),junior,"Python, Selenium, gRPC, pytest, Git, Jenkins"
Python Developer,senior,"Python, GraphQL, REST, Git, AWS, Less"
Junior/Middle Python Developer,junior,"Python, REST, PostgreSQL, MySQL, Git"
"Python Engineer (Poland, Romania)",senior,"Python, Django, Celery, MongoDB, Docker, Kubernetes, AWS, Jenkins, Less"
Strong Junior Python Developer,junior,"Python, Django, REST, unittest, PostgreSQL, MongoDB, Redis, Git"
Python Engineer,middle,"Python, asyncio, aiohttp, REST, Redis, Git, Docker"
Senior Developer,senior,"Python, Flask, MongoDB"
Software Engineer,senior,"Python, Pandas, TensorFlow, Redis, Git, Docker, Jenkins, Hadoop, Spark, Airflow"
Str.Middle/Senior Python Developer,senior,"Python, Pyramid, PostgreSQL"
Full-Stack Developer (Python (Django) + React.js),senior,"Python, Django, REST, Celery, AWS, GCP, Less"
Performance engineer (Singapore),senior,"Python, Selenium, Git, AWS, Azure"
Middle Python Developer,middle,"Python, Django, Flask, REST, NoSQL, Docker, Kubernetes"
Junior Python Developer,junior,"Python, REST, PostgreSQL, MySQL, Git"
Automation QA Middle (Python) Engineer,middle,"Python, RQ, MongoDB, Docker, Kubernetes, AWS, Azure, Airflow"
Senior Django Developer,senior,"Django, REST, RQ, PostgreSQL, MySQL, Git"
QA Automation Engineer,middle,"Python, pytest, Jenkins"
Middle/ Middle+ Back-end Python Developer,middle,"Python, Django, REST, Celery, PostgreSQL, MongoDB"
Python Engineer,middle,"Python, Django, Flask, FastAPI, REST, AWS, Azure, Less"
Junior Python Verification Engineer,junior,"Python, Jenkins, Less"
Senior Python Developer_Competency Lead,senior,"Python, Django, FastAPI, REST, unittest, PostgreSQL, NoSQL, MongoDB, Redis, Docker, Kubernetes, AWS, GCP"
Python/Django developer,junior,"Python, Django, REST, Celery, PostgreSQL, Git, Docker"
Middle Python Software Engineer (Prom.ua),middle,"Python, aiohttp, REST, gRPC, PostgreSQL, NoSQL, Redis, Git, Docker, Kubernetes"
Python (Django) Developer,middle,"Python, Django, Docker"
Senior Python Backend Engineer,senior,"Python, Django, FastAPI, REST, unittest, PostgreSQL, NoSQL, MongoDB, Redis, Docker, Kubernetes, AWS, GCP, Dask"
Senior Python Engineer,senior,"Python, Django, FastAPI, GraphQL, pytest, Celery, PostgreSQL, Redis, Git, Docker, Kubernetes, AWS, Terraform"
Data and Machine Learning Engineer (Python),senior,"Python, NumPy, Pandas, TensorFlow, PyTorch, NoSQL, Git, Docker, AWS, Hadoop, Spark, Dask"
Python Engineer with AI (Computer Vision),senior,"Python, Django, Celery, MongoDB, AWS"
Python Developer,middle,"Python, FastAPI, Docker, AWS, Terraform"
AI Developer,senior,Python
Senior Python Developer,senior,"Python, GraphQL, REST, Git, AWS, Less"
Bot Developer in the Crypto Sector (Python / Zennoposter),middle,Python
Python Developer (Разработчик бота у криптосередовищі),middle,Python
Python Developer (Junior),junior,Python
Senior Python (Computer Vision) Engineer/Poland or Romania,senior,"Python, Django, Celery, MongoDB, Docker, Kubernetes, AWS, Jenkins, Less"
Django Developer,middle,"Python, Django, GraphQL, REST, Celery, NoSQL, AWS"
Python/Django Developer,middle,"Python, Django, REST, Celery, NoSQL, AWS"
Senior Python Developer for algorithm development Navigation App,senior,"Python, asyncio, aiohttp, REST, Git, Docker"
Python Developer,middle,"Python, Docker, Kubernetes"
Fullstack Engineer,senior,"Python, Django, Flask, unittest, PostgreSQL, Git, Docker"
LLM Specialist with Python Knowledge,junior,"Python, FastAPI, MongoDB, Docker"
Python developer,senior,"Python, Flask, FastAPI, REST, PostgreSQL, Git, Docker, AWS"
Senior Python(Django) Developer,senior,"Python, Django, AWS"
Python Engineer,middle,"Python, FastAPI, REST, unittest, Celery, Git, AWS"
Back-End Engineer (Python),senior,"Python, Django, REST, Git, Less"
Senior Back-End Engineer (Experimentation),senior,"Python, Django, Flask, Git, Less"
Reef Technologies Senior Python Backend Engineer,senior,"Python, REST, Git, Dask"
Trainee Python/Django Developer,Not specified,"Python, Django, Celery, PostgreSQL, MySQL, Git, Sass"
Integration Developer (Poland),senior,"Python, REST, NoSQL, MongoDB, Redis, Git, Docker, Kubernetes, AWS, Azure, GCP, Less"
Senior MLOps Engineer,senior,"Python, AWS, Terraform, Jenkins, Spark"
Junior Python Developer,junior,"Python, Flask, REST, pytest, Celery, NoSQL, Redis, Docker"
Senior/Lead Python Software Engineer,senior,"Python, Django, REST, unittest, PostgreSQL, Git, Docker, Kubernetes, Airflow"
Python Backend Engineer (Outstaff project),senior,"Python, Django, FastAPI, GraphQL, MySQL, Redis, Less"
Senior Python Engineer (Integrations),senior,"Python, Django, FastAPI, REST, unittest, NoSQL, Docker"
Middle Python Engineer (BI),middle,"Python, Flask, FastAPI, SQLAlchemy, PostgreSQL, Git"
Junior RPA developer,junior,Python
Senior Python BackEnd Engineer,senior,"Python, asyncio, MySQL, Git, Docker, Azure, Terraform"
Senior Backend Engineer (Python),senior,"Python, Django, asyncio, aiohttp, unittest, Celery, PostgreSQL, NoSQL, MongoDB, Redis, Docker, AWS, Terraform, Airflow"
Python (Django) Developer,middle,"Python, Django, GraphQL, REST"
Backend (Python) Software Engineer,middle,"Python, asyncio, aiohttp, BeautifulSoup, Selenium, NoSQL, MongoDB, Redis, Docker"
Tech/Team Lead (Python),senior,"Python, REST, NoSQL, Docker, AWS, Spark"
Middle Java Developer на long-term проект розробки інноваційного продукту,middle,"Python, PostgreSQL, Docker"
AI Python Developer,middle,"Python, TensorFlow, NoSQL, Docker, Kubernetes"
Backend Developer (Python),middle,"Python, BeautifulSoup, Scrapy, Selenium, unittest, PostgreSQL, MongoDB, Docker, Less"
python developer for algorithmic trading project,middle,
Strong Junior Python Developer (scraping),junior,"Python, MySQL, Redis, Git"
Python Engineer,senior,"Python, Django"
Python developer / middle,middle,"Python, Django, NoSQL, AWS"
Senior Python Developer,senior,"Python, Flask, FastAPI, REST, Celery, SQLAlchemy, MySQL, MongoDB, Docker, Kubernetes"
Middle Python Developer,middle,"Python, Django, Docker"
Senior BE Python Developer,senior,"Python, FastAPI, MySQL"
Python Developer (Senior),senior,"Python, TensorFlow, PyTorch"
"Python Engineer (Poland, Romania)",senior,"Python, Django, Celery, MongoDB, Docker, Kubernetes, AWS, Jenkins, Less"
Python Developer,middle,"Python, Docker, Kubernetes, Sass"
"Python Developers (Permanent/ requires relocation to Dubai, UAE)",senior,"Python, Git"
ML/CV Engineer,middle,"Python, REST"
Backend Python Engineer,senior,"Python, Django, Celery, NoSQL, MongoDB, Docker, Kubernetes, AWS, Jenkins, Less"
Senior Python Developer,senior,"Python, FastAPI, REST, unittest, Git, AWS, Azure"
Fullstack Python/React Developer,middle,"Python, Django, Flask, FastAPI, REST, PostgreSQL, MongoDB, Docker, AWS, GCP"
Software Engineer (Python/Golang),middle,"Python, Flask, REST, PostgreSQL, MongoDB, Docker, Kubernetes, AWS, GCP, Terraform"
Data Scrap Specialist (Python),Not specified,"Python, REST, Git"
Open Omniverse UI / Extension developer,senior,"Python, Git"
Senior Python Engineer,senior,"Python, TensorFlow, PyTorch, REST, unittest, RQ, Git, Azure, Webpack"
AI DEVELOPER (Construction and Business Operations),senior,"Python, TensorFlow, PyTorch"
SENIOR or LEAD Python developer,senior,"Python, Django, Flask, TensorFlow, PyTorch, REST, Less"
Senior/Principal Python Developer,senior,"Python, FastAPI, unittest, AWS, Less"
Python developer,middle,"Python, Django, REST, pytest, unittest, PostgreSQL, Git"
Python Developer,middle,"Python, FastAPI, Tornado, asyncio, REST, Celery, SQLAlchemy, PostgreSQL, MySQL, Redis, Git, Docker, Kubernetes, AWS"
Python Developer,middle,"Python, Django, FastAPI, Celery, Redis, Docker, AWS"
Lead Backend Engineer (Python),senior,"Python, PostgreSQL, MySQL, MongoDB, Docker, Kubernetes"
Python developer for global product (audit and assurance company BIG FOUR),middle,"Python, Flask, REST, unittest, PostgreSQL, MySQL, NoSQL, MongoDB, Git, Docker, Kubernetes, Azure, Spark"
Full-stack Developer (Python + Vue),middle,"Python, Django, REST, NoSQL, Redis, Docker, AWS"
Middle/Senior Python+JS developer,senior,"Python, unittest"
Senior Python Developer,senior,"Python, Django, FastAPI, REST, Celery, PostgreSQL, MongoDB, Docker"
Python Developer,middle,"Python, Django, Pandas, MySQL, Git"
Full-stack Developer (Python + Vue),senior,"Python, Django, REST, NoSQL, Redis, Docker, AWS"
Senior Python Developer,senior,"Python, FastAPI, MySQL"
Senior Python Engineer (only in Poland),senior,"Python, Django, Celery, MongoDB, Docker, Kubernetes, AWS, Jenkins, Less"
Middle Python Developer,middle,Git
Computer Vision Algorithms Developer,senior,"Python, TensorFlow, PyTorch, Git, AWS, Less"
Computer Vision Algorithms Developer for Visual Intelligence Company,senior,"Python, TensorFlow, PyTorch, Git, AWS, Less"
Computer Vision Algorithms Developer,senior,"Python, TensorFlow, PyTorch, AWS, Less"
Python (Django) Developer,middle,"Python, Django, Git, AWS"
python developer with a focus on WebRTC,middle,"Python, Django, Git, Less"
Python Developer,senior,"Python, Django, Flask, unittest, AWS, Azure"
FullStack (Python/React.js) Tech Lead,senior,"Python, Django, REST, unittest, Celery, Git, Docker"
Python Tech Lead (Automation team),senior,"Python, REST, AWS"
Python Developer with Murex Experience,middle,Python
Python (Django) Engineer,senior,"Python, Django, FastAPI, asyncio, GraphQL, REST, Git, AWS, Less"
Data Engineer (Python),middle,"Python, Django, TensorFlow, PyTorch, Docker, Less"
Full Stack Developer (Python),senior,"Python, Django, REST, AWS"
Senior Python-focused engineer with BE knowledge,senior,"Python, Django, unittest, MySQL, NoSQL"
Middle/Senior BE engineer with Python knowledge,senior,"Python, Django, unittest, MySQL, NoSQL"
Python Developer/Data Engineer,middle,"Python, NumPy, Pandas, TensorFlow, PyTorch, Git"
Python Developer/AI Specialist (part - time),senior,"Python, TensorFlow, PyTorch, REST, Less"
Senior Python Developer for AI Project (Location - Germany only) qp,senior,"Python, TensorFlow, PyTorch, Docker, Kubernetes, AWS, Spark"
Python developer with DevOps experience,middle,"Python, TensorFlow, PyTorch, Git, Docker, Kubernetes, Jenkins"
Senior Python Engineer,senior,"Python, Django, Flask, PostgreSQL, MySQL"
Junior Backend Developer (Python + Django),junior,"Python, Django, REST, Git"
Senior Python/Django Engineer,senior,"Python, Django, REST, MySQL, Docker, Kubernetes, AWS, Terraform, CircleCI, Less"
Senior Python Developer,senior,"Python, GraphQL, REST, Git, AWS, Less"
Senior Python Developer,senior,"Python, GraphQL, REST, Git, AWS, Less"
Python Developer,middle,"Python, GraphQL, REST, Git, AWS, Less"
Senior Python Developer,senior,"Python, GraphQL, REST, Git, AWS, Less"
Senior Python Developer,senior,"Python, GraphQL, REST, Git, AWS, Less"
Python Developer,middle,"Python, GraphQL, REST, Git, AWS, Less"
Middle Python Developer,middle,"Python, Django, Flask, Selenium, pytest, unittest, Git, Docker"
"Senior Python Developer(AI, ML experience)",senior,"Python, FastAPI, Pandas, PyTorch, REST, Git, Docker, Kubernetes, AWS, Azure"
Middle Python Developer,middle,"Python, FastAPI, Pandas, PyTorch, REST, Git, Docker, Kubernetes, AWS, Azure"
Middle Python Developer with Experience in ML/NLP frameworks,middle,"Python, REST, Git, Docker, Kubernetes, AWS, Azure, GCP, Terraform"
Senior Python Developer,senior,"Python, FastAPI, Pandas, PyTorch, REST, Git, Docker, Kubernetes, AWS, Azure"
Python Developer,middle,"Python, FastAPI, Pandas, PyTorch, REST, Git, Docker, Kubernetes, AWS, Azure"
Python Developer (Data engineering),junior,"Python, REST, PostgreSQL, NoSQL, Redis, AWS, Spark, Airflow"
IoT developer (LoRaWAN),middle,"Python, Django, REST, Git, AWS, GCP"
Senior Software Engineer (IoT),senior,"REST, Git, AWS, GCP"
Senior Python Developer (Django),senior,"Python, Django, REST, AWS"
Senior Python Engineer IRC206424,senior,"Python, Django, Flask, REST, pytest, PostgreSQL, MongoDB, Git, Docker, Kubernetes, Azure"
Python (Django) Developer,middle,"Python, Django, Flask, REST, Celery, PostgreSQL, MySQL, MongoDB, Redis, Sass"
Senior Python Developer,senior,"Python, Pandas, TensorFlow, REST, PostgreSQL, MySQL, MongoDB, Git, Docker, Jenkins, Hadoop, Spark, Airflow"
Senior Python developer for an AI startup,senior,"Python, REST, Redis, AWS, Less"
Python Developer,junior,"Python, REST, Sass, Less"
Middle Python Developer,middle,"Python, FastAPI, asyncio, TensorFlow, PyTorch, REST, SQLAlchemy, PostgreSQL, AWS"
Python/Django Engineer,middle,"Python, Django"
Senior Developer / CI Developer (IRC206222),senior,"Python, Git, Jenkins"
Senior Python Developer,senior,"Python, Django, Git, Docker, AWS, Terraform"
Middle Python,middle,"Python, Django, Flask, PostgreSQL, Git"
Middle Python Developer,middle,"Python, Django, Flask, FastAPI, NumPy, Pandas, TensorFlow, PyTorch, REST, unittest, RQ, PostgreSQL, Redis, Git"
Looking Middle Python Developer,middle,"Python, Django, Flask, FastAPI, pytest, Celery, SQLAlchemy, PostgreSQL, MySQL, Git, Docker, AWS, Azure, GCP"
Middle Python Developer,middle,"Python, Django, aiohttp, REST, Celery, PostgreSQL, Redis, Git"
Lead AI Engineer,senior,"Python, TensorFlow, Keras, PyTorch, REST, Spark"
Python FS Developer (2 months project),middle,"Python, Selenium, unittest, NoSQL, Git, Docker, Kubernetes, AWS, Azure, GCP, Jenkins"
Python Developer,middle,"Python, Django, FastAPI, REST, NoSQL, Git"
Senior Full Stack Software Developer (Python+JS),senior,"Python, RQ, AWS, GCP"
Python Developer in Test (Apps),middle,"Python, REST, gRPC, pytest, RQ, Jenkins"
Senior Python developer,senior,"Python, AWS, Terraform, Sass"
Senior Python Backend Engineer,senior,"Python, Django, FastAPI, REST, unittest, PostgreSQL, NoSQL, MongoDB, Redis, Docker, Kubernetes, AWS, GCP, Dask"
Senior Backend Engineer (Python),senior,"Python, Django, FastAPI, asyncio, aiohttp, REST, pytest, Celery, PostgreSQL, Redis, Git, Docker, Kubernetes"
Python Engineer,middle,"Python, Flask, REST, PostgreSQL, Redis, Git, Docker, AWS, Less"
Python Engineer (Poland),senior,"Python, Django, Celery, MongoDB, Docker, Kubernetes, AWS, Jenkins, Less"
Senior Python (Django) Developer,senior,"Python, Django, unittest, Celery, NoSQL, Redis, Git, Docker, AWS"
Middle/Senior Full Stack (Python / React.js / TypeScript),senior,"Python, Flask, REST, PostgreSQL, Less"
Python developer / strong junior,junior,"Python, Django, NoSQL, AWS"
Staff Software Engineer/Tech lead,senior,"Python, MySQL, NoSQL, Redis, Memcached, Kubernetes, AWS, Sass"
Python Lead,senior,"Python, REST, NoSQL, AWS"
Python Developer,junior,"Python, Flask, Pandas, BeautifulSoup, Selenium, REST, NoSQL, AWS, GCP"
Python Developer,middle,"Python, REST, PostgreSQL, MySQL, Git, Docker"
"Middle Python/Django developer, full stack (front preferable vue.js)",middle,"Python, Django, REST, Docker"
Middle Python/Machine Learning Software Engineer,middle,"Python, NumPy, Pandas, SciPy, REST, Git, Docker"
Data Mining Engineer needed for data centric startup,Not specified,"Python, Pandas, Selenium, Git, Docker, Kubernetes, Airflow"
Middle Strong Python Dev,middle,"Python, REST, Docker, Less"
Senior Python Developer (with AWS skills),senior,"Python, Docker, Kubernetes, AWS"
Database Developer (Graph Databases),senior,"Python, Git, Docker, Airflow"
Senior Software Engineer (Python),senior,"Python, Docker, Kubernetes, AWS"
Software Engineer (Python),middle,"Python, Docker, Kubernetes, AWS"
Scraping Engineer,middle,"Python, Scrapy, NoSQL, AWS, Azure"
Senior Python Developer,senior,"Python, Django, PostgreSQL, Redis, Webpack"
Senior Python Developer with AWS,senior,"Python, PostgreSQL, AWS"
Data Aggregation Specialist (Python),junior,"Python, Scrapy, Selenium, Git, Less"
Team Lead Python/Django,middle,"Python, Django, REST, Celery, PostgreSQL, NoSQL, MongoDB, Docker, Kubernetes, AWS, Azure, GCP"
Python Developer (Scraping),junior,"Python, Flask, Pandas, BeautifulSoup, Selenium, REST, NoSQL, AWS, GCP"
Senior Python Developer with AWS,senior,"Python, PostgreSQL, AWS"
Team Lead / Senior Python Engineer (Indigo Ag),senior,"Python, FastAPI, Celery, SQLAlchemy, Redis, Git"
Python Developer for EdTech company,middle,Python
Штучний інтелект і Python (блок ШІ),Not specified,Python
Python Developer,middle,"Python, FastAPI, Docker, AWS, Terraform"
Senior Python developer (Location - Germany),senior,"Python, TensorFlow, PyTorch, REST, Git, Docker, Kubernetes, AWS, Spark"
Senior Python Developer,senior,"Python, PostgreSQL, AWS"
Senior Python Developer with AWS,senior,"Python, PostgreSQL, AWS"
Senior Python Developer with AWS,senior,"Python, PostgreSQL, AWS"
Python + Django,junior,"Python, Django, REST, pytest, unittest, PostgreSQL, Git"
Python (Odoo) Developer,junior,"Python, Git"
Python developer на платформі Odoo,middle,"Python, PostgreSQL, Git"
Senior Python Software Engineer with Data Science experience (in Europe),senior,"Python, unittest, Sass, Less, Spark"
Python FS Developer,middle,"Python, Selenium, unittest, NoSQL, Git, Docker, Kubernetes, AWS, Azure, GCP, Jenkins, Less"
Junior Python Developer (full stack),junior,"Python, Django, NumPy, Pandas, TensorFlow, PyTorch, REST, unittest, Git, Docker, AWS, Azure, GCP"
Python developer,middle,"Python, Django, REST, pytest, unittest, PostgreSQL, Git"
Software Engineer with VoIP experience,senior,"Python, GCP"
Python Engineer (OCR and Document Processing),middle,"Python, REST, Git, Sass, Less"
Middle Python Developer,middle,"Python, REST, PostgreSQL, Redis, Docker, Kubernetes"
Large Language Model (LLM) Engineer,middle,"Python, REST"
Middle to Senior Python Engineer,senior,"Python, Django, Flask, FastAPI, REST, PostgreSQL, MySQL, MongoDB, AWS, Azure, GCP"
Python Developer,junior,"Python, Django, Flask, REST, NoSQL, Docker, Kubernetes, AWS, Azure, GCP"
Middle Python Developer,middle,"Python, Flask, REST, Celery, SQLAlchemy, PostgreSQL, AWS, GCP"
Python developer with Cloud and DevOps experience,middle,"Python, REST, Git, Docker, Kubernetes, AWS, Azure, Terraform"
Senior - Regular Python Developer ( EST working hours),senior,"Python, Pandas, AWS, Airflow"
Pyton Developer 4+ years exp,senior,"Python, Django, FastAPI, REST, Celery, SQLAlchemy, Redis, Docker, AWS, Less"
